rq,setting,task,budget,repeat,tabpfn_auroc,baseline_auroc,delta,n_geographic_units_used,valid_pair
RQ1,Country-Agnostic I,2c,50,9,0.7600787114286361,0.7118759278072674,0.04820278362136876,56,True
RQ1,Country-Agnostic I,3c,10,0,0.6673718995724346,0.6499624305958491,0.017409468976585463,56,True
RQ1,Country-Agnostic I,3c,10,1,0.6800578115518676,0.6488425100982863,0.031215301453581312,44,True
RQ1,Country-Agnostic I,3c,10,2,0.6843593315352476,0.6536574270272872,0.030701904507960398,56,True
RQ1,Country-Agnostic I,3c,10,3,0.6731482928167231,0.6467115694489197,0.02643672336780334,55,True
RQ1,Country-Agnostic I,3c,10,4,0.6627576426535148,0.6197052825879243,0.043052360065590434,56,True
RQ1,Country-Agnostic I,3c,10,5,0.6704689468911609,0.639944865307185,0.030524081583975904,56,True
RQ1,Country-Agnostic I,3c,10,6,0.6756501186428265,0.6633457874395643,0.012304331203262242,52,True
RQ1,Country-Agnostic I,3c,10,7,0.6719870882039257,0.6346389393833612,0.037348148820564475,52,True
RQ1,Country-Agnostic I,3c,10,8,0.6749308388768008,0.6539497854184254,0.02098105345837542,54,True
RQ1,Country-Agnostic I,3c,10,9,0.6832194782962348,0.6644548947590098,0.018764583537224988,56,True
RQ1,Country-Agnostic I,3c,20,0,0.7079155054830891,0.6970363902733813,0.010879115209707857,56,True
RQ1,Country-Agnostic I,3c,20,1,0.7221347325810804,0.6886127409034815,0.03352199167759895,44,True
